,Alcohol_Tobacco,GDP_Contribution,Unemployment_Rate,CCSI
2017.1/4,4065.2,0.3,4.233333333333333,94.66666666666667
2017.2/4,4026.5,0.5,3.8666666666666667,107.66666666666667
2017.3/4,3979.2,0.5,3.4333333333333336,110.86666666666667
2017.4/4,4086.6,0.3,3.1999999999999997,112.10000000000001
2018.1/4,3982.1,0.5,4.266666666666667,110.16666666666667
2018.2/4,3959.5,0.2,3.9333333333333336,108.23333333333333
2018.3/4,3931.9,0.2,3.766666666666667,100.90000000000002
2018.4/4,3948.1,0.3,3.3666666666666667,98.03333333333335
2019.1/4,3951.2,0.3,4.5,99.8
2019.2/4,3873.9,0.0,4.133333333333334,99.89999999999999
2019.3/4,3809.5,0.4,3.3333333333333335,95.86666666666667
2019.4/4,3849.4,0.6,3.1666666666666665,100.93333333333334
2020.1/4,3949.0,-3.0,4.133333333333333,93.96666666666665
2020.2/4,3905.8,0.0,4.333333333333333,77.23333333333333
2020.3/4,4009.8,0.4,3.5666666666666664,84.53333333333333
2020.4/4,3770.7,-0.4,3.733333333333333,93.86666666666667
2021.1/4,3928.8,0.5,4.966666666666667,97.53333333333335
2021.2/4,3925.1,1.3,3.9333333333333336,106.23333333333333
2021.3/4,3939.9,0.2,2.8333333333333335,103.39999999999999
2021.4/4,3951.3,0.9,2.966666666666667,106.56666666666666
2022.1/4,4030.8,-0.6,3.5,103.96666666666665
2022.2/4,4111.1,1.4,3.0,101.33333333333333
2022.3/4,4115.8,0.6,2.466666666666667,88.5
2022.4/4,4026.4,-0.1,2.5666666666666664,88.16666666666667
2023.1/4,3901.0,0.2,3.1999999999999997,90.63333333333333
2023.2/4,3978.7,-0.1,2.733333333333333,97.83333333333333
2023.3/4,3910.2,0.0,2.3333333333333335,102.10000000000001
2023.4/4,3955.4,0.1,2.5666666666666664,98.2
2024.1/4,3896.6,0.3,3.3000000000000003,101.23333333333333
2024.2/4,3936.8,0.0,2.966666666666667,99.83333333333333
2024.3/4,3813.7,0.2,2.1666666666666665,101.33333333333333
2024.4/4,3819.8,0.0,2.766666666666667,96.7
2025.1/4,3729.4,0.0,3.3333333333333335,93.06666666666666
2025.2/4,3857.2,0.2,2.8333333333333335,101.3
2025.3/4,3797.2,0.6,2.1666666666666665,110.63333333333333
2025.4/4,3749.6,0.1,2.8333333333333335,110.56666666666666
